city_ascii,lat,lng
Swift Current,50.2881,-107.7939
Edmundston,47.3765,-68.3253
Yorkton,51.2139,-102.4628
Tracadie,47.5124,-64.9101
Bracebridge,45.0333,-79.3
Tillsonburg,42.8667,-80.7333
Steinbach,49.5258,-96.6839
Terrace,54.5164,-128.5997
Gaspe,48.8333,-64.4833
Kenora,49.7667,-94.4833
Summerside,46.4,-63.7833
Comox,49.6733,-124.9022
Pincourt,45.3833,-73.9833
Matane,48.85,-67.5333
Brooks,50.5642,-111.8989
Rosemere,45.6369,-73.8
Mistassini,48.8229,-72.2154
North Battleford,52.7575,-108.2861
Pembroke,45.8167,-77.1
Mont-Laurier,46.55,-75.5
Strathmore,51.0378,-113.4003
Thompson,55.7433,-97.8553
Lavaltrie,45.8833,-73.2833
Powell River,49.8353,-124.5247
Mercier,45.32,-73.75
Lacombe,52.4683,-113.7369
Dawson Creek,55.7606,-120.2356
Truro,45.3647,-63.28
Amos,48.5667,-78.1167
Winkler,49.1817,-97.9397
Lachute,45.65,-74.3333
Parksville,49.315,-124.312
Cowansville,45.2,-72.75
Becancour,46.3333,-72.4333
Prince Rupert,54.3122,-130.3271
Beauharnois,45.32,-73.87
Brighton,44.1222,-77.7642
Sidney,48.6506,-123.3986
Brock,44.3167,-79.0833
Montmagny,46.9833,-70.55
Erin,43.7667,-80.0667
Estevan,49.1392,-102.9861
Warman,52.3219,-106.5842
St. Clements,50.2689,-96.6742
Saint-Amable,45.65,-73.3
Weyburn,49.6611,-103.8525
Williams Lake,52.1294,-122.1383
Elliot Lake,46.3833,-82.65
Cantley,45.5667,-75.7833
Nelson,49.5,-117.2833
Rawdon,46.05,-73.7167
Campbellton,48.005,-66.6731
View Royal,48.4517,-123.4339
Chester,44.65,-64.3
Queens,44.0333,-64.7167
Selkirk,50.1436,-96.8839
Saint-Felicien,48.65,-72.45
Roberval,48.52,-72.23
Sainte-Agathe-des-Monts,46.05,-74.28
Marieville,45.4333,-73.1667
Saint-Sauveur,45.9,-74.17
Quesnel,52.9784,-122.4927
Morinville,53.8022,-113.6497
Stratford,46.2167,-63.0893
Mont-Tremblant,46.1167,-74.6
Martensville,52.2897,-106.6667
Amherst,45.8167,-64.2167
Bois-des-Filion,45.6667,-73.75
Carignan,45.45,-73.3
Lorraine,45.6833,-73.7833
Oromocto,45.8488,-66.4788
Qualicum Beach,49.35,-124.4333
Pont-Rouge,46.75,-71.7
Champlain,45.5333,-74.65
Coaticook,45.1333,-71.8
Morden,49.1919,-98.1006
Bridgewater,44.37,-64.52
Dauphin,51.1992,-100.0633
Otterburn Park,45.5333,-73.2167
Taber,49.7847,-112.1508
Farnham,45.2833,-72.9833
La Malbaie,47.65,-70.15
Renfrew,45.4717,-76.6831
Kitimat,54.0,-128.7
Castlegar,49.3256,-117.6661
Drumheller,51.4636,-112.7194
Torbay,47.65,-52.7333
Nicolet,46.2167,-72.6167
Dryden,49.7833,-92.8333
Iqaluit,63.7598,-68.5107
Trail,49.095,-117.71
Chandler,48.35,-64.6833
Acton Vale,45.65,-72.5667
Bromont,45.3167,-72.65
Rigaud,45.4833,-74.3
Louiseville,46.25,-72.95
Chibougamau,49.9167,-74.3667
Aylmer,42.7667,-80.9833
Delson,45.37,-73.55
Kimberley,49.6697,-115.9775
Beauport,46.9667,-71.3
Drayton Valley,53.2222,-114.9769
Ponoka,52.6833,-113.5667
Donnacona,46.6747,-71.7294
Hampstead,45.4833,-73.6333
Baie-Saint-Paul,47.45,-70.5
Merritt,50.1128,-120.7897
Brownsburg,45.6703,-74.4467
Asbestos,45.7667,-71.9333
Coteau-du-Lac,45.3,-74.18
Peace River,56.2339,-117.2897
